epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.296,1.68627,2.00417,1.03761,0.91216,0.48086,0.8224,0.41695,1.4578,2.03271,0.96173,0.00064,0.00064,0.00064
2,242.272,1.57959,1.09532,1.02444,0.87389,0.42322,0.76766,0.41776,1.39628,2.13175,0.9593,0.0012571,0.0012571,0.0012571
3,360.432,1.60264,1.03504,1.037,0.87674,0.74471,0.8773,0.50373,1.40501,1.54026,1.0042,0.00183064,0.00183064,0.00183064
4,478.778,1.58025,0.99152,1.02345,0.83598,0.82094,0.89977,0.52887,1.3992,1.05242,0.99561,0.001802,0.001802,0.001802
5,596.798,1.53655,0.92966,1.02493,0.88883,0.8906,0.93219,0.54033,1.35412,1.02024,0.97591,0.001736,0.001736,0.001736
6,715.242,1.45931,0.90516,1.01536,0.82594,0.86779,0.91095,0.48837,1.55324,0.9955,1.02246,0.00167,0.00167,0.00167
7,833.42,1.45051,0.8349,1.00617,0.91337,0.90738,0.96422,0.5908,1.28961,0.75309,0.95227,0.001604,0.001604,0.001604
8,953.227,1.48696,1.12352,1.02589,0.87987,0.8953,0.91912,0.5658,1.30495,0.73786,0.96857,0.001538,0.001538,0.001538
9,1072.24,1.43358,0.79535,0.99667,0.9073,0.91275,0.95704,0.53355,1.43357,0.71401,0.986,0.001472,0.001472,0.001472
10,1192.58,1.42348,0.78476,0.99352,0.91356,0.90537,0.9676,0.59758,1.28409,0.69038,0.94727,0.001406,0.001406,0.001406
11,1313.06,1.3757,0.74089,0.98156,0.93766,0.92416,0.96826,0.61438,1.22868,0.63309,0.94251,0.00134,0.00134,0.00134
12,1433.72,1.36063,0.71763,0.97036,0.9222,0.91812,0.96687,0.57374,1.34875,0.6977,0.95909,0.001274,0.001274,0.001274
13,1555.78,1.39885,0.71387,0.97788,0.93703,0.93874,0.97534,0.61749,1.22214,0.6229,0.93741,0.001208,0.001208,0.001208
14,1675.39,1.34776,0.70466,0.96005,0.94494,0.93893,0.9797,0.62757,1.24784,0.5987,0.93863,0.001142,0.001142,0.001142
15,1794.53,1.33583,0.68993,0.96358,0.94559,0.93315,0.97682,0.63205,1.23352,0.58134,0.94215,0.001076,0.001076,0.001076
16,1914.64,1.32052,0.67328,0.96718,0.95815,0.95271,0.98355,0.64133,1.21155,0.57445,0.9324,0.00101,0.00101,0.00101
17,2034.01,1.33405,0.67396,0.9654,0.94438,0.95638,0.98205,0.6447,1.20884,0.57847,0.93164,0.000944,0.000944,0.000944
18,2153.35,1.31389,0.65225,0.95795,0.9477,0.94855,0.98101,0.63867,1.21564,0.57068,0.93387,0.000878,0.000878,0.000878
19,2272.5,1.31623,0.67032,0.95694,0.94325,0.92752,0.97292,0.62186,1.27832,0.57987,0.95464,0.000812,0.000812,0.000812
20,2393.43,1.32185,0.64714,0.96018,0.95494,0.9388,0.97857,0.64494,1.21634,0.55938,0.93538,0.000746,0.000746,0.000746
21,2510.15,1.28845,0.76092,0.97552,0.94509,0.93893,0.97831,0.64711,1.20515,0.55173,0.93328,0.00068,0.00068,0.00068
22,2627.18,1.22423,0.62813,0.97668,0.95496,0.95343,0.98293,0.63916,1.22562,0.55795,0.93503,0.000614,0.000614,0.000614
23,2744.06,1.24617,0.60712,0.95944,0.91955,0.9349,0.97239,0.5949,1.31297,0.62004,0.95484,0.000548,0.000548,0.000548
24,2860.18,1.22359,0.59823,0.95577,0.95046,0.95276,0.98433,0.63306,1.2465,0.55583,0.93813,0.000482,0.000482,0.000482
25,2977.33,1.22981,0.58465,0.9538,0.94011,0.93766,0.97923,0.61737,1.32351,0.56805,0.95387,0.000416,0.000416,0.000416
26,3094.21,1.2393,0.59288,0.95301,0.94915,0.9557,0.98586,0.63883,1.25836,0.54208,0.93747,0.00035,0.00035,0.00035
27,3211.17,1.2364,0.57038,0.95388,0.95629,0.95438,0.98638,0.66202,1.18805,0.51608,0.92306,0.000284,0.000284,0.000284
28,3328.35,1.21459,0.56664,0.9476,0.95811,0.95034,0.98539,0.64232,1.23053,0.52918,0.93028,0.000218,0.000218,0.000218
29,3445.39,1.1988,0.55708,0.94514,0.95736,0.94631,0.98474,0.66241,1.19286,0.50874,0.92544,0.000152,0.000152,0.000152
30,3562.25,1.19582,0.54284,0.95592,0.95677,0.95072,0.98661,0.66173,1.20013,0.50857,0.92532,8.6e-05,8.6e-05,8.6e-05
